Student_ID,Attendance,Study_Hours,Internal_Mark,Assignment,Previous_Mark,Performance
S001,81.7,5.8,75.3,75.6,53.5,High
S002,65.5,1.3,35.0,36.6,30.0,Low
S003,87.0,4.6,77.3,65.2,65.4,High
S004,89.3,2.9,54.0,70.9,50.2,Medium
S005,54.6,3.3,39.3,38.9,30.0,Low
S006,62.4,1.9,44.9,57.3,36.5,Low
S007,79.5,2.9,60.4,50.4,42.7,Low
S008,74.2,5.2,67.9,53.6,46.4,High
S009,77.8,4.2,47.0,60.7,62.3,High
S010,67.8,5.8,68.9,56.6,57.2,High
S011,88.6,5.0,62.0,63.2,60.2,High
S012,87.3,4.0,65.9,66.3,52.2,High
S013,78.8,5.8,58.6,76.1,53.5,High
S014,91.5,4.0,69.6,58.9,50.2,Medium
S015,83.6,4.6,58.8,73.6,33.2,Medium
S016,67.7,3.0,38.6,58.2,30.0,Low
S017,82.4,3.5,64.5,70.3,42.1,Medium
S018,66.5,2.4,47.2,48.4,30.0,Low
S019,88.5,4.8,63.9,80.6,49.8,High
S020,77.4,1.8,58.4,30.0,51.7,Low
S021,75.8,4.5,57.6,58.2,48.8,Medium
S022,69.8,3.1,51.0,41.9,50.9,Low
S023,92.7,5.0,74.4,72.8,66.0,High
S024,76.1,4.5,56.1,55.8,53.8,Medium
S025,72.9,5.9,71.5,67.8,52.4,High
S026,73.8,4.4,55.5,76.7,57.7,High
S027,84.4,1.2,43.8,41.7,42.4,Low
S028,82.4,3.3,68.6,59.8,51.1,Medium
S029,83.0,1.8,41.2,44.2,40.4,Low
S030,83.2,2.7,35.3,53.0,39.9,Medium
S031,100.0,5.5,91.2,77.9,69.1,High
S032,73.1,4.3,79.1,62.6,53.3,High
S033,71.9,2.4,44.6,56.4,32.0,Low
S034,68.2,2.0,35.0,56.4,36.9,Low
S035,85.4,3.4,57.5,61.0,52.5,High
S036,91.5,1.7,51.0,54.8,38.1,Low
S037,76.6,2.5,48.8,37.8,38.4,Low
S038,67.9,3.8,44.8,52.7,45.0,Low
S039,68.1,5.0,64.9,69.7,61.6,Medium
S040,85.8,4.3,68.8,71.5,71.7,High
S041,86.9,0.5,35.0,41.7,42.0,Low
S042,84.5,3.8,67.2,68.3,49.5,High
S043,70.0,3.5,69.3,56.6,68.5,Medium
S044,80.8,4.0,62.0,70.6,51.1,Medium
S045,79.4,5.7,66.6,72.8,66.8,High
S046,80.6,0.5,40.4,34.0,32.9,Low
S047,88.5,2.6,61.5,56.9,47.6,Low
S048,80.7,4.2,48.1,35.0,30.0,Low
S049,86.1,1.2,49.2,47.3,39.9,Low
S050,78.8,5.5,64.8,35.8,33.9,Medium
S051,81.5,3.9,75.4,44.2,62.5,Medium
S052,85.6,4.6,64.9,69.8,68.8,High
S053,60.5,2.6,56.7,46.6,38.8,Low
S054,74.2,4.5,51.7,50.2,45.9,Medium
S055,72.4,4.9,66.4,55.8,47.4,Medium
